km1;km2;km3;km4;km5;kcal;total;day;daydiff
426;515;513;730;606;399,2;2790;26-Thg3;30
439;476;463;478;667;399;2523;27-Thg3;1
599;629;645;481;568;398,8;2922;28-Thg3;1
365;415;476;422;568;400;2246;29-Thg3;1
413;439;476;485;505;399,8;2318;30-Thg3;1
382;361;379;410;543;400,1;2075;02-Thg4;3
218;356;347;344;394;419;1659;03-Thg4;1
339;355;348;356;370;408,3;1768;04-Thg4;1
342;355;364;382;337;419;1780;05-Thg4;1
350;379;437;437;503;403;2106;16-Thg4;5
370;334;394;375;383;400;1856;17-Thg4;1
331;365;369;422;424;401;1911;18-Thg4;1
331;372;380;389;377;410;1849;19-Thg4;1
319;355;398;410;405;402;1887;25-Thg4;6
313;448;358;508;441;406;2068;21-Thg5;26
315;444;313;483;565;407;2120;27-Thg5;6
331;357;448;392;465;412;1993;04-Thg6;8
319;369;385;407;685;414;2165;08-Thg6;4
340;373;342;433;459;415;1947;09-Thg6;1
328;382;365;377;459;415;1911;10-Thg6;1
350;485;526;699;690;400;2750;18-Thg6;6
357;373;483;385;606;401;2204;20-Thg6;2
347;424;452;444;613;401;2280;25-Thg6;5
366;377;459;474;403;402;2079;26-Thg6;1
350;368;380;457;389;400,4;1944;27-Thg6;1
344;352;397;459;410;399,6;1962;29-Thg6;1
355;352;382;450;398;406;1937;04-Thg7;4
366;376;394;417;559;399,8;2112;07-Thg7;3
338;389;455;452;417;399,6;2051;09-Thg7;2
377;392;459;571;535;399,4;2334;15-Thg7;4
383;392;463;467;529;400;2234;16-Thg7;1
352;344;398;450;581;400;2125;24-Thg7;7
388;398;461;476;505;399,4;2228;28-Thg7;4
392;389;472;474;515;400,2;2242;01-Thg8;4
383;465;578;463;559;399,6;2448;03-Thg8;2
370;427;469;495;621;399,8;2382;04-Thg8;1
353;380;459;565;463;400,4;2220;06-Thg8;2
341;339;457;518;637;399,6;2292;07-Thg8;1
364;508;556;495;481;400,2;2404;11-Thg8;4
413;444;478;481;549;400;2365;14-Thg8;3
373;380;413;474;592;400,2;2232;21-Thg8;3
394;402;459;495;613;411,2;2363;16-Thg9;11
395;395;510;510;549;410,2;2359;02-Thg10;12
392;459;556;498;625;407,2;2530;09-Thg10;7
355;382;444;543;442;405,4;2166;14-Thg10;5
339;382;415;422;463;409,1;2021;16-Thg10;2
341;379;518;521;581;410,2;2340;17-Thg10;1
352;417;444;465;538;411;2216;18-Thg10;1
352;424;469;463;592;409,8;2300;19-Thg10;1
365;402;459;498;490;410,2;2214;21-Thg10;2
332;364;439;459;478;405,4;2072;23-Thg10;2
361;455;483;476;459;405,9;2234;28-Thg10;5
361;395;472;422;441;405,2;2091;30-Thg10;2
398;424;429;500;556;405,2;2307;13-Thg11;8
450;403;369;400;386;407,1;2008;16-Thg11;3
394;377;388;410;417;406,4;1986;19-Thg11;3
412;368;389;420;380;406,6;1969;20-Thg11;1
376;382;403;485;613;407,9;2259;17-Thg12;21
385;366;405;415;429;407,4;2000;31-Thg12;4
368;386;407;365;344;407,2;1870;08-Thg1;3
329;375;358;360;368;408,2;1790;09-Thg1;1
345;370;369;372;429;408,5;1885;10-Thg1;1
357;373;386;353;339;408,2;1808;14-Thg1;2
350;352;346;342;344;408,1;1734;15-Thg1;1
385;377;383;391;382;404,6;1918;16-Thg1;1
407;405;418;433;395;408,3;2058;22-Thg1;1
386;410;405;382;358;409,3;1941;23-Thg1;1
355;379;386;386;358;409,2;1864;24-Thg1;1
356;358;348;356;361;407,2;1779;25-Thg1;1
360;356;358;362;352;408,4;1788;26-Thg1;1
376;366;369;382;395;407;1888;27-Thg1;1
394;394;408;415;395;408,9;2006;28-Thg1;1
385;380;417;408;403;409,2;1993;29-Thg1;1
